,id,construidos_m,utiles_m,habitaciones,baños,terraza,balcon,estado,orientacion,garaje,año_construido,calefaccion,planta,ascensor,aire_acondicionado,zonas_verdes_o_jardin,ciudad,zona,etiqueta_energetica,precio,precio_anterior,titulo_anuncio
28,28,286.0,211.0,3.0,3.0,SI,SI,Buen estado,no_definido,SI,1995.0,NO,2,NO,NO,JardÃ­n,Igualada,Igualada,e,330000,340000,Chalet adosado en venta en Les Comes
29,29,110.0,95.0,2.0,1.0,SI,SI,Buen estado,sur,NO,1970.0,SI,2,NO,SI,NO,Igualada,Centre,NO,135000,135000,Piso en venta en SOLEDAD s/n
30,30,68.0,62.0,3.0,2.0,NO,NO,Buen estado,no_definido,NO,2000.0,SI,1,SI,NO,NO,Igualada,Centre,NO,165000,165000,Piso en venta en rambla General Vives
31,31,303.0,263.0,3.0,4.0,SI,NO,Buen estado,norte,NO,1900.0,SI,2,NO,SI,NO,Igualada,Igualada,d,249000,249000,Casa o chalet independiente en venta en Centre
32,32,54.0,42.0,2.0,1.0,NO,NO,Buen estado,este,NO,1956.0,SI,1,NO,NO,NO,Igualada,Igualada,f,62000,65000,Piso en venta en Llevant
33,33,428.0,400.0,4.0,1.0,NO,SI,Buen estado,sur,SI,1968.0,SI,2,NO,NO,NO,Igualada,Centre,NO,385000,385000,Chalet adosado en venta en balmes
34,34,155.0,117.0,3.0,2.0,SI,SI,Buen estado,no_definido,NO,2012.0,NO,3,SI,NO,NO,Igualada,Igualada,e,190000,190000,DÃºplex en venta en Llevant
35,35,108.0,107.0,3.0,3.0,NO,SI,Buen estado,norte,NO,2008.0,SI,2,SI,NO,Zonas verdes,Igualada,Ponent,e,149000,149000,DÃºplex en venta en avenida del Mestre Montaner
36,36,227.0,119.0,5.0,2.0,NO,SI,Buen estado,este,SI,1995.0,SI,2,NO,SI,JardÃ­n,Igualada,Igualada,e,298999,298999,Chalet adosado en venta en Les Comes
37,37,109.0,86.0,3.0,2.0,NO,SI,Buen estado,sur,SI,1992.0,SI,4,SI,SI,NO,Igualada,Igualada,e,220000,220000,Piso en venta en Ponent
38,38,89.0,89.0,4.0,2.0,NO,SI,Buen estado,oeste,NO,1984.2057416267942,SI,3,SI,SI,NO,Igualada,Centre,e,165000,165000,"Piso en venta en calle de les DelÃ­cies, 6"
39,39,115.0,105.0,4.0,1.0,NO,NO,Buen estado,sur,NO,1984.2057416267942,NO,1,NO,NO,NO,Igualada,Igualada,NO,165000,165000,Piso en venta en Llevant
40,40,91.0,90.0,4.0,1.0,NO,NO,Buen estado,no_definido,SI,1984.2057416267942,NO,1,SI,NO,NO,Igualada,Pla de Sant Magi,b,125000,125000,"Piso en venta en SANTA TERESA, 6"
41,41,85.0,112.65346534653466,2.0,2.0,SI,NO,Buen estado,norte,SI,2006.0,SI,3,SI,SI,NO,Igualada,Llevant,e,155000,155000,DÃºplex en venta en calle de Salvador Murt
42,42,168.0,110.0,4.0,2.0,SI,NO,Buen estado,no_definido,NO,1980.0,SI,5_o_superior,SI,SI,NO,Igualada,Pla de Sant Magi,c,280000,280000,Piso en venta en calle de Capellades
43,43,200.0,160.0,4.0,3.0,SI,NO,Buen estado,no_definido,SI,1984.2057416267942,NO,2,NO,NO,NO,Igualada,Igualada,NO,199000,199000,Casa o chalet independiente en venta en Ponent
44,44,154.0,154.0,3.0,2.0,SI,NO,Buen estado,no_definido,NO,2003.0,SI,2,SI,SI,NO,Igualada,Centre,e,185000,195000,DÃºplex en venta en calle Santa Maria
45,45,119.0,109.0,4.0,2.0,NO,NO,Buen estado,no_definido,SI,2006.0,NO,3,SI,NO,NO,Igualada,Llevant,e,162000,162000,DÃºplex en venta en calle de Salvador Murt
46,46,108.0,87.0,3.0,2.0,NO,NO,Buen estado,no_definido,NO,1970.0,NO,4,SI,NO,NO,Igualada,Centre,d,118500,118500,Piso en venta en rambla de Sant Isidre
47,47,120.0,113.0,2.0,1.0,NO,NO,Buen estado,no_definido,NO,2005.0,NO,2,SI,NO,NO,Igualada,Pla de Sant Magi,d,181000,181000,"Piso en venta en calle de Trobadiners, 2"
48,48,297.0,297.0,3.0,3.0,SI,NO,Buen estado,no_definido,SI,2001.0,SI,2,NO,SI,NO,Igualada,Igualada,NO,525000,525000,Casa o chalet independiente en venta en Sesoliveres la Massa
49,49,91.0,73.0,2.0,1.0,SI,NO,Buen estado,no_definido,NO,1960.0,NO,4,NO,NO,NO,Igualada,Pla de Sant Magi,g,101500,106000,Piso en venta en Sant Josep
50,50,85.0,72.0,3.0,2.0,NO,NO,Buen estado,sur,NO,1976.0,SI,2,SI,NO,NO,Igualada,Llevant,e,135000,135000,Piso en venta en calle de Sant Carles
51,51,75.0,71.0,3.0,1.0,NO,SI,Por reformar,no_definido,NO,1975.0,SI,5_o_superior,SI,NO,NO,Igualada,Centre,g,132500,132500,Piso en venta en calle de Sant Antoni de Baix
52,52,116.0,98.0,3.0,2.0,SI,SI,Buen estado,no_definido,NO,2007.0,NO,3,SI,SI,NO,Igualada,Llevant,d,190000,190000,"DÃºplex en venta en Bisbe Robuster Barcelona, 3"
53,53,272.0,272.0,4.0,2.0,SI,NO,Buen estado,no_definido,SI,1965.0,SI,2,NO,SI,NO,Igualada,Igualada,NO,352000,352000,Chalet adosado en venta en Pla de Sant Magi
54,54,127.0,68.0,3.0,1.0,SI,NO,Buen estado,sur,NO,1974.0,SI,4,NO,NO,NO,Igualada,Ponent,e,99000,114000,Ãtico en venta en PARE SALVADOR FONT
55,55,117.0,101.0,5.0,2.0,SI,NO,Buen estado,sur,NO,1975.0,SI,4,NO,NO,NO,Igualada,Llevant,f,140000,140000,Piso en venta en calle de Pau Muntadas
56,56,119.0,109.0,4.0,2.0,NO,SI,Buen estado,no_definido,NO,2006.0,SI,3,SI,SI,NO,Igualada,Igualada,e,150000,150000,Piso en venta en Llevant
57,57,74.0,70.0,3.0,1.0,NO,SI,Buen estado,no_definido,NO,1982.0,SI,3,NO,NO,NO,Igualada,Pla de Sant Magi,e,135500,141500,Piso en venta en Odena
58,58,450.0,450.0,5.0,3.0,SI,NO,Buen estado,no_definido,SI,2007.0,SI,2,NO,NO,JardÃ­n,Igualada,Sesoliveres la Massa,c,599000,599000,Casa o chalet independiente en venta en alt camp
59,59,83.0,60.0,2.0,2.0,NO,NO,Buen estado,no_definido,SI,2007.0,SI,1,SI,NO,NO,Igualada,Llevant,e,115100,115100,Piso en venta en calle de Gaspar Camps
60,60,86.0,75.0,2.0,1.0,SI,NO,Buen estado,no_definido,NO,1984.2057416267942,NO,2,NO,NO,NO,Igualada,Igualada,g,101500,106000,Piso en venta en Pla de Sant Magi
61,61,87.0,87.0,4.0,1.0,NO,NO,Buen estado,no_definido,SI,1979.0,NO,2,SI,NO,NO,Igualada,Centre,NO,149000,149000,"Piso en venta en calle de les DelÃ­cies, 25"
62,62,115.0,95.0,3.0,2.0,NO,SI,Buen estado,sur,SI,1984.2057416267942,SI,3,SI,SI,NO,Igualada,Centre,NO,226000,226000,"Piso en venta en calle de la Torre, 2"
63,63,74.0,74.0,3.0,1.0,NO,NO,Buen estado,no_definido,NO,1984.2057416267942,NO,2,NO,NO,NO,Igualada,Igualada,NO,135500,141500,Piso en venta en Pla de Sant Magi
64,64,127.0,122.0,4.0,1.0,NO,SI,Buen estado,no_definido,NO,1984.2057416267942,SI,2,NO,SI,NO,Igualada,Pla de Sant Magi,NO,155000,165000,Piso en venta en calle del Rei Ferran d'Antequera
65,65,111.0,89.0,4.0,2.0,SI,SI,Buen estado,norte,NO,1977.0,SI,2,SI,NO,NO,Igualada,Igualada,d,149000,149000,Piso en venta en Pla de Sant Magi
66,66,170.0,149.0,3.0,2.0,SI,NO,Buen estado,este,SI,2004.0,NO,4,SI,SI,NO,Igualada,Igualada,e,395000,395000,Piso en venta en Pla de Sant Magi
67,67,297.0,73.0,2.0,3.0,NO,NO,Buen estado,sur,NO,1956.0,NO,2,NO,NO,NO,Igualada,Igualada,NO,225000,225000,Casa o chalet independiente en venta en Llevant
68,68,252.0,212.0,6.0,3.0,NO,NO,Por reformar,no_definido,NO,1975.0,NO,2,NO,NO,NO,Igualada,Igualada,f,430000,465000,Casa o chalet independiente en venta en Ponent
69,69,104.0,93.0,3.0,2.0,NO,NO,Buen estado,norte,NO,1984.2057416267942,NO,2,NO,NO,NO,Igualada,Centre,NO,151000,151000,Piso en venta en calle de la Caritat
